s00481, (96, 2.901503525843456), (58, 28.297423928034274), (103, 253.6002733072097), (0, 0.0), 
s00477, (96, 1.848857134926242), (106, 40.86374088220039), (2, 326.39600004341287), (58, 0.0), 
s00467, (54, 5.154726130753917), (65, 17.422570230394296), (93, 328.39410864768547), (58, 0.0), 
s00461, (56, 5.902855078743974), (54, 67.757272138197), (89, 319.4826542067751), (0, 0.0), 
s00478, (46, 2.3169219292067007), (19, 15.472776831154212), (24, 311.43402084662944), (58, 0.0), 
s00484, (58, 7.23924952629015), (75, 37.65831925002165), (84, 301.3360552364828), (58, 0.0), 
s00506, (19, 5.427244814626938), (22, 47.735892729552404), (97, 456.3466161356488), (0, 0.0), 
s00521, (103, 1.3496763557697236), (81, 26.438735569066743), (60, 247.96656694501516), (58, 0.0), 
s00514, (109, 3.260457876509503), (26, 92.60571132885555), (27, 379.3926930752659), (56, 0.0), 
s00511, (52, 6.0272363147873085), (54, 12.368839244946924), (2, 144.2966569202603), (0, 0.0), 
s00493, (50, 5.302668531962739), (29, 17.7113885905218), (19, 342.7905211077532), (58, 0.0), 
s00486, (0, 3.103993916287865), (78, 104.55345111742886), (22, 346.757369111827), (58, 0.0), 
